원본,라벨,독어_역번역
거기 교복 저요? 교복 너 밖에 없는데? 돈좀 빌려줘 저 돈 없어요 좀전에 편의점에서 다 봤어 안돼요 안되긴 뭘 안돼? 빌려달라고 제발 보내주세요 그러니까 말로 하자고 이게 전부예요 보내주세요,갈취 대화,"거기 교복이요? 교복을 입은 사람은 당신뿐인가요? 나에게 돈을 좀 빌려주세요. 나는 돈이 없습니다. 아까 슈퍼마켓에서 다 봤어요. 아니, 아니, 내가 뭘 할 수 없어? 대출을 위해 저에게 보내주세요. 그럼 그냥 말해 봅시다. 그게 다야. 저에게 보내주세요."
박사원은 군대를 안갔다와서 일을 이따구로 하나? 아닙니다. 넌 진짜 할 줄 아는게 뭐냐 뭐 하나 제대로 하는 꼬라지를 못보네 죄송합니다. 진짜 너같은 애들을 쓰레기라 하는거야 쓸모 없는 놈 죄송합니다. 너 그냥 회사 때려쳐 . 보기만 해도 짜증나 죽겠어 죄송합니다. 아 됐고 앞으로 내 눈 앞에 띄지마 짜증나니까 알겠습니다 죄송합니다.,직장 내 괴롭힘 대화,"박재원이 군 복무를 안 했으니 취업해도 괜찮을까? 아니요. 당신은 정말로 무엇을 알고 있나요? 나는 당신이 옳은 일을 하고 있다고 상상할 수 없습니다. 죄송합니다. 정말 당신 같은 사람을 쓰레기라고 부릅니다. 너무 쓸모없는 사람이어서 미안해요. 당신은 방금 회사를 떠났어요. 보기만 해도 너무 짜증나고, 미안해요. 아, 괜찮아요. 이제부터 보여주지 마세요. 짜증난다. 이해합니다. 죄송합니다."
아 이새끼 진짜 존나 못하네. 너 어디사냐 넌 눈이 없고 뇌도 없냐? 머리는 장식이냐? 니가 못했지. 수원산다 왜 수원? 하 어린새끼가 진짜 게임도 못하면서 입에 걸레 물었네 미쳤나 이게 어린새끼? 서른하나 먹었다. 지가 먼지 시비 걸고 사이코패스에 이거 장애인 아니야? 니 엄마가 너무 불쌍하네. 미역국 먹은거 후회할듯 에휴 엄마가 불쌍하다 서른하나먹고 나이값 못하는거 봐라. 형들이 수원가서 강냉이 부수고 팔다리 부러뜨려줄게 와봐. 수원시 장안구 동 방. 안오면 죽는다. 내 번호다 010 1234 5678 형한테 맞고 갱생하자. 내가 장기까지 다 적출해줄게. 뱃대기 사시미칼로 후려줘야지 아니야 아니야. 아가리에서 냄새 난다. 입을 찢어 꼬메버리자 경찰에 신고하기만해봐 니 신상 다 털어서 니 가족들까지 다 죽인다. 넌 오늘 죽었어,협박 대화,"아, 이 사람 정말 말을 잘 못해요. 어디 살아요? 눈도 없고 뇌도 없나요? 머리 장식인가요? 당신은 그것을하지 않았습니다. 저는 수원에 살아요. 왜 수원인가? 하, 그 애는 정말 게임도 못하는데 입에 걸레가 물려있네요. 제정신이에요? 저 아이인가요? 나는 서른 하나를 먹었다. 이 사람은 말싸움하고 장애인이 된 사이코패스 아닌가요? 어머니께 정말 미안해요. 미역국 먹으면 후회할 것 같아요. 아, 엄마한테 미안해요. 그녀가 31살에 어떻게 먹고 자기 나이에 못 미치게 사는지 보세요. 형들이 수원에 가서 옥수수를 갈고 팔다리를 꺾어줄 것이다. 수원시 장안구 이스트룸. 안 오면 죽는다. 제 전화번호 010 1234 5678 입니다. 형한테 맞아서 재활하자. 네 장기를 모두 제거해 주겠다. 회칼로 배를 때려야지,안돼,안돼. 입에서 냄새가 나요. 그냥 닥치고 경찰에 신고하세요. 그들은 당신에 관한 모든 것을 폭로하고 당신의 가족 전체를 죽일 것입니다. 당신은 오늘 죽었어"
저기요 혹시 김민경님 아세요? 혹시 누구신데 그러시죠? 김민경씨 남편 되는 사람인데요 당신 내 아내랑 바람났지? 뭔소리세요. 그런 사람 누군지 모르는데 이미 얘가 다 털어놨어요. 그니까 좋은 말 할 때 빨리 사과하시죠. 당신도 결혼한 사람이라며 어떻게 그럴 수 있어. 죄송합니다. 저희 아내한테는 말하지 말아주세요. 관계 깔끔하게 끝낼게요. 너네 아내한테 말 안 하는 조건과 더불어 내 아내랑 바람 피워서 내 정신 상태가 상당히 불안해졌거든? 정신적 보상금 합해서 100만원 내놔. 네네 빠른 시일안으로 보내드릴테니 제발 아내한테 말하지 말아주세요. 어쨋든 빠른 시일안에 100만원 보내. 안 그러면 바로 니 아내한테 말할거니까. 네 알겠습니다. 감사합니다 전화 끊겠습니다. 오빠 나 잘했지. 내가 딱 결혼한 유부남 꼬셨다니까 내가 이렇게만 하면 쉽게 돈 벌 수 있다 그랬잖아. 두 집 살림하느라 고생했다. 100만원으로 맛있는거 사먹자 응 그래 다음에는 더 돈 많은 사람 꼬셔서 돈 더 받아내자 솔쏠하네.,갈취 대화,저기요 혹시 김민경님 아세요? 혹시 누구신데 그러시죠? 김민경씨 남편 되는 사람인데요 당신 내 아내랑 바람났지? 뭔소리세요. 그런 사람 누군지 모르는데 이미 얘가 다 털어놨어요. 그니까 좋은 말 할 때 빨리 사과하시죠. 당신도 결혼한 사람이라며 어떻게 그럴 수 있어. 죄송합니다. 저희 아내한테는 말하지 말아주세요. 관계 깔끔하게 끝낼게요. 너네 아내한테 말 안 하는 조건과 더불어 내 아내랑 바람 피워서 내 정신 상태가 상당히 불안해졌거든? 정신적 보상금 합해서 100만원 내놔. 네네 빠른 시일안으로 보내드릴테니 제발 아내한테 말하지 말아주세요. 어쨋든 빠른 시일안에 100만원 보내. 안 그러면 바로 니 아내한테 말할거니까. 네 알겠습니다. 감사합니다 전화 끊겠습니다. 오빠 나 잘했지. 내가 딱 결혼한 유부남 꼬셨다니까 내가 이렇게만 하면 쉽게 돈 벌 수 있다 그랬잖아. 두 집 살림하느라 고생했다. 100만원으로 맛있는거 사먹자 응 그래 다음에는 더 돈 많은 사람 꼬셔서 돈 더 받아내자 솔쏠하네.
너 내 말대로 안하면 죽인다 니가 뭔데 날 죽여 돈을 빌렸으면 갚아야지 아니 돈이 없는데 어떻게 줘 돈 주기로 한거 잊었냐? 어떻게든 갚아야지 없는 돈을 어떻게 주냐 니 부모한테 찾아가서 당장 받아와 부모님을 왜 들먹여 안그러면 니 부모 죽이고 불 지를 거니까 빨랑! 너 지금 협박죄로 고소할거야!,협박 대화,"내가 말한 대로 하지 않으면, 내가 당신을 죽일 것입니다. 누구세요? 나를 죽여 돈을 빌렸다면 갚아야 한다. 아니요, 돈이 없어요. 어떻게 당신에게 줄 수 있나요? 나한테 주기로 동의했다는 걸 잊었나요? 어떻게 해서든 갚지 않아도 되는 돈을 당신에게 줄 수 있습니까? 부모님한테 가서 즉시 받아보세요. 부모님을 왜 데려오나요? 그렇지 않으면 너희 부모님을 죽이고 불태워버릴 테니까 서둘러라! 지금부터 협박죄로 고소하겠습니다!"
김우주 이번 국어 수행평가 0점이다. 너 수행평가 미제출로 최하점이야. 내기만 하면 만점 준다니까 게을러서 못 냈지? 네? 선생님 저 분명 반장한테 제출했어요. 제가 수행 제출 안 할 애가 아니잖아요. 뭐라고?? 반장 이게 무슨 말이야? 너가 우주만 미제출이라며 하는거 깜박해서 못 해왔다고 못 낸다고 얘기했다며 네 분명히 안냈는데요. 쟤가 거짓말 치나봐요. 괜히 수행 혼자서 수행 점수 깎이니가 저러는 건가 봐요. 뭔소리야 저번주에 너가 나한테 수행평가 종이 달라고 너가 모아서 제출해야 한다고 그래서 내가 너한테 줬더니 수행 빨리 준비했다고 그랬잖아. 야 소설을 써라 소설을. 내가 왜 저번주에 걷었겠어 이번주에 제출인데 애들거 잃어버리면 내가 책임지라고? 너 진짜 왜그래 너가 내준다며. 나 이번 수행 점수 떨어지면 등급도 떨어져. 너도 알잖아. 설마 너 나보다 시험 1점 못 봤다고 그러더니 너가 등급 올리려고 그런거야? 니 멋대로 생각하지 마. 수행 안낸건 넌데 점수 깍이는건 당연한거야 그냥 받아드려. 설사 내가 미제출 해도 너가 확인했어야 하는거 아니야? 너가 가져다 놔준다니까 믿은거지. 어쩔거야 왜 거짓말 쳐. 너 때문에 나 입시 망하는거 보고싶어서 그래? 너가 제출한다며 왜 그러는데 도대체 다른 사람 핑계대지말고 그냥 너가 잘못한거 생각해. 그따위 점수 몇 점 깍인다고 안 죽어,기타 괴롭힘 대화,"김우주는 이번 한국어 수행평가에서 0점을 받았다. 성과 평가를 제출하지 않았기 때문에 가장 낮은 점수를 받았습니다. 배팅만 하면 만점 준다고 했는데 돈 내기엔 너무 게으르셨죠? 예? 선생님, 반장님께 꼭 선물했어요. 나는 작품을 제출하지 않는 사람이 아니다. 무엇?? 반장님, 그게 무슨 뜻이에요? 우주만 제출하지 않았다고 하시고 제출할 수 없다는 점과 제출할 수 없다는 점을 언급하는 것을 잊으셨습니다. 네, 분명히 제출하지 않으셨습니다. 내 생각엔 그가 거짓말을 하고 있는 것 같아. 나는 그들이 아무 이유 없이 학점을 공제하기 때문에 이렇게 한다고 생각합니다. 무슨 얘기를 하는 건가요? 지난주에 성과평가서를 달라고 하셔서 모아서 제출해야 한다고 하더군요. 그래서 드렸더니 빨리 준비하셨다고 하더군요. 이봐, 소설을 써라, 소설을 써라. 내가 지난주에 왜 뛰었지? 이번주 마감인데 아이들이 잃어버리면 제가 책임지나요? 진짜 왜 이러는 걸까요? 내어주겠다고 하셨습니다. 이번에 내 성적이 떨어지면 내 성적도 내려갈 것이다. 알잖아. 너 시험에서 나보다 한 점 낮췄는데 성적 올리려고 그랬다고 했어? 당신의 방식대로 생각하지 마십시오. 당신은 성과를 내지 못한 사람이기 때문에 점수가 감소하는 것은 당연합니다. 그냥 받아들이세요. 제출하지 않았더라도 확인했어야 하는 거 아닌가요? 가져다준다고 해서 믿었어요. 어떻게 해야 하나요? 왜 거짓말을 하는 거야? 내가 너 때문에 입시에서 떨어졌으면 좋겠어? 왜 제출한다고 합니까? 다른 사람을 변명하지 말고 자신이 무엇을 잘못했는지 생각해보십시오. 이런 식으로 점수가 몇 점 떨어지더라도 죽지는 않습니다."
어이 김씨 가져왔지? 모으고 있는중입니다 머? 내 말을 입으로 쳐드셨나? 이 쉐이바라 최선을 다하고 있습니다. 최선? 최선? 뭔 개소리야? 디지고 싶냐? 내일까지는 꼭 하겠습니다. 팔모가지 하나 뽀사야 정신차리지 아닙니다. 잘못했습니다. 필요없고 빨리해. 니 팔모가지 날아가기전에 예예예,협박 대화,"김야, 가져왔어? 내가 수집하는 거 맞죠? 내 말을 들었나요? 이 셰이바라는 최선을 다하고 있습니다. 즐겨? 즐겨? 무슨 말도 안돼? 지고 싶나요? 내일까지 꼭 해내겠습니다. 제정신이 아닌 것 같네요. 잘못된. 필요없어 빨리 해라 네 팔이 날아가기 전에 그래, 그래, 그래"
김대리 네 부장님 김대리 요새 얼굴이 그게뭐야? 제 얼굴이 왜요? 거울을 보고는 다니는거야? 요새 야근 때문에 잠을 잘못잤어요. 야근은 김대리가 일처리가 늦으니 그런거지 네. 거울 좀보고 다녀. 우리 회사 이미지 생각안해? 알겠습니다.,직장 내 괴롭힘 대화,"Manager Kim, your manager, Manager Kim, what kind of face is that these days? stimmt mit meinem Gesicht nicht였나요? 돌아다니면서 거울을 보시나요? 요즘 야근을 해서 잠을 잘 못 잤어요. 네, 김 대리가 출근에 늦어서 야근을 합니다. 거울을 한번 보세요. 우리 회사의 이미지에 대해 생각하지 않나요? 순서대로."
복장이 왜이래 머가 문제 있나요? 단정하지 못하잖아 회사 이미지 떨어지게 나름 신경쓴건데요. 신경 쓴게 이 꼬라지? 그지 같네 말이 좀 심하신 것 같네요. 심하긴 내가 뭘 신경 좀 쓰고 다녀 직장인답게 네 말이 짧네 네 알겠습니다,직장 내 괴롭힘 대화,복장이 왜이래 머가 문제 있나요? 단정하지 못하잖아 회사 이미지 떨어지게 나름 신경쓴건데요. 신경 쓴게 이 꼬라지? 그지 같네 말이 좀 심하신 것 같네요. 심하긴 내가 뭘 신경 좀 쓰고 다녀 직장인답게 네 말이 짧네 네 알겠습니다
아 불편해 죽겟네 아저씨 다리 좀 오므려 주세요 혼자 뭐 전세 냈어요? 뭐요? 아니 두 사람이 앉을 자리인데 혼자 그렇게 쩍벌하시고 앉으시면 저도 불편하고 다른사람이 불편하잖아요 예의가 없는거야 뭐야 아휴 진짜 아줌마 말 다했어? 아니요 ! 살 뒤룩뒤룩 쪄서 덩치크면 무서울 줄 알았어요? 아흐 냄새도 고약하고 사람이야 짐승이야 이 아줌마가 보자보자 하니까 진짜!,기타 괴롭힘 대화,"아 너무 불편해서 죽겠다. 선생님, 다리를 닫으세요. 직접 빌린 적이 있나요? 무엇? 아니, 두 사람이 앉을 수 있는 자리인데, 그렇게 혼자 앉는 것은 자신도 불편하고 다른 사람도 불편하다. 그게 무례한 일인가요? 아, 정말, 말 다 했어? 아니요 ! 살이 찌고 커지면 무섭다고 생각하셨나요? 아 냄새도 심하고 사람이던가 동물이던가. 이 아줌마가 어디 보자고 하더군요, 정말!"
어이 최대리. 지금 이걸 보고서라고 써온 건가? 네 부장님. 무슨 문제라도.? 이따구로 요약도 안해서 제출하면 어쩌라는거야? 엉? 죄송합니다. 다시 작성하겠습니다. 아니 돼지같이 살쪘으면 일이라도 잘해야지. 쯧. 네.? 부장님 지금 뭐라고 하셨습니까? 아니 내 말이 틀려? 돼지같은 몸뚱이로 남들한테 피해주면 일이라도 제대로 해야지! 말씀이 지나치십니다. 사과해주세요. 지금 상사한테 대드는 건가? 죄송합니다.,직장 내 괴롭힘 대화,"안녕하세요 최대리님. 이거 보고서로 쓰는 거야? 네, 매니저님. 문제가 있나요? 요약도 하지 않고 제출하면 어떻게 되나요? 좋아요? 실례합니다. 다시 글을 쓰겠습니다. 아니, 돼지처럼 뚱뚱하다면 적어도 일을 잘해야 합니다. 쯧쯧. 예.? 매니저님, 방금 뭐라고 하셨나요? 아니, 내 말이 틀렸어? 다른 사람을 피하기 위해 돼지 몸을 사용하려면 적어도 자신의 일을 올바르게 수행해야 합니다! 당신은 너무 많이 말합니다. 사과해주세요. 이제 상사와 대결 하시겠습니까? 실례합니다."
혹시 표백제를 마시게 되면 어떻게 되는지 알아? 네? 너의 식도가 다 녹여버릴거야. 죄송합니다. 그리고 곧 너의 위도 녹게 되겠지. 살려주세요. 그렇게 고통받다가 피를 토하며 몸부림 치겠지. 한 번만 봐주세요. 결국 넌 그렇게 죽는거야. 시키는 데로 다 할게요.,협박 대화,표백제를 마시면 어떻게 되는지 아시나요? 예? 식도가 녹을 것입니다. 실례합니다. 그리고 곧 당신의 위도 녹을 것입니다. 저를 구해주세요. 그렇게 고통을 겪은 후에 그는 경련을 일으키고 피를 토했습니다. 한번 살펴보시기 바랍니다. 결국 그렇게 죽습니다. 나는 당신이 나에게 요청하는 것은 무엇이든 할 것입니다.
니 누나 엄청 예쁘더라 우리누나 건들지 말아줘. 나 절대 다시 못가. 감사해야지. 옆에 놓고 내 장난감처럼 사용하는거거든 감동이지? 누나 건들지 말아줘 들어갈 바에는 차라리 날 죽여줘. 너도 죽이고 누나도 갖고 제발. 건들지 말아줘 싫은데 괴롭히고 싶은데? 그래 날 죽여줘 그러도 동생만은 건들지 말아줘 부탁이야. 그래 살려줄게 그럼 너 장기 나한테 줘 돈 좀 벌자. 알았어 다 가져가. 가져가면 되잖아.,협박 대화,"네 여동생은 정말 예쁘구나. 제발 내 여동생을 만지지 마세요. 나는 결코 돌아갈 수 없습니다. 감사해야합니다. 옆에 두고 자기 장난감처럼 사용하면 감동적이지 않나요? 내 여동생을 만지지 마세요. 들어가지 말고 나를 죽여 주십시오. 나를 죽이고 내 여동생도 데려가 주십시오. 제발 나를 만지지 마세요. 싫은데 귀찮게 하고 싶은데? 네, 저를 죽여주세요. 하지만 제 남동생은 건드리지 마세요. 알았어, 내가 네 생명을 구해줄게. 그럼 장기를 나한테 주고 돈 좀 벌자. 좋아요, 다 가져가세요. 당신은 그것을 가져갈 수 있습니다."
사장님 저기 말할게 있는데요 뭔데 임마 아니 우리 게임회사는 전체이용가 게임이잖아요 그래서 그러니까 그런 게임에 너무 심오한 내용과 이스터에그를 집어 넣으면 안될것 같아요 쓸데없는 걱정 말고 일이나 똑바로 해 네? 요즘 애들 알것 다 알아 어디서 모르는 소릴하고 있어? 아니 그래도 야 애들때 현실을 빨리 배워야해 아니 그러다가 공정의가 제지를 가하면 책임지실거에요? 야 니 회사냐 말투 똑바로 안해? 내 회사니까 내 마음대로야 아니 저도 높은 위치로서 의논도 못하나요?,직장 내 괴롭힘 대화,"사장님, 말씀드릴 게 있어요. 저게 뭐에요? 아니, 저희 게임회사는 모든 유저를 위한 게임입니다. 그러므로 이런 게임에 너무 깊은 내용과 이스터 에그를 넣는 것은 좋지 않다고 생각합니다. 쓸데없는 일은 걱정하지 말고 일을 제대로 해, 알았지? 요즘 아이들은 다 알아요. 어디서 모르는 얘기를 하시나요? 아니요, 하지만 아이들은 현실을 빨리 배워야 합니다. 아니요, 하지만 정의가 당신을 막는다면 책임을 지실 건가요? 아, 여기가 당신 회사인가요? 명확하게 말하지 않습니까? 내 회사니까 내가 원하는 건 뭐든지 할 수 있어요. 선배로서 이 문제에 대해서는 논할 수도 없습니다."
너 입술이 똑바로 안돼냐? 야 재 뭐더라 안면장애? 그거라더라. 장애? 애자네 애자. 니들 맨날 나한테 왜 이래? 니가 똑바로 말을 못하니까 못알아듣겠잖아. 그 삐뚤어진 눈꼬리도 좀 제대로 해봐라. 그만하자. 응? 왜? 우린 이제 재미있어지려는데. 내가 애자를 첨 봐서 그래. 그만 괴롭히라고.내가 니들 다 신고할꺼야.,기타 괴롭힘 대화,"입술이 바르지 않은가? 저기, 그게 뭐였지? 안면 장애? 그게 다라고 하더군요. 장애? 자기야, 자기야. 왜 나한테 항상 이러는 걸까요? 당신이 명확하게 말하지 못하기 때문에 나는 당신을 이해하지 못할 것입니다. 또한 비뚤어진 눈썹을 교정해 보세요. 그만하자. 사실이 아니지? 왜? 우리는 이제 즐거운 시간을 보내려고 합니다. 애자를 처음 뵙기 때문이죠. 나를 괴롭히지 마세요. 모두 신고하겠습니다."
안녕! 오늘은 장사가 좀 어떤가? 아 요즘 영 죽을 맛입니다. 아시잖아요. 코로나때문에 사람들 안다니는거. 그러니까 코로나 때문에 내가 너무 우울해. 가서 커피라도 한 잔 해야겠는데 이게 참 돈이 없네. 지 지금 가진게 이게 다라. 장난해? 정말 이것밖에 없어요. 아 나 오늘 또 열이 오르네. 날은 추워진다는데 왜 이리 덥냐? 저 다음에는 다음에는 많이 드릴께요. 이게 확! 어디서 구라는? 너 거기. 어 거기. 깡통 들어올려봐. 봐 거기 있잖아. 저도 먹고는 살아야줘. 이것까지 가져가시면 저 밥값도 없어요. 아이고 이제 커피 마실수 있겠다. 밥값 열심히 벌어.,갈취 대화,"안녕! 오늘 사업은 잘 진행되고 있나요? 아 요즘 죽는 것 같아요. 알잖아. 사람들은 그것이 코로나 바이러스 때문이라는 것을 알고 있습니다. 코로나 때문에 너무 우울해요. 가서 커피라도 한잔 해야 하는데 돈이 정말 없어요. 그것이 현재 내가 가진 전부입니다. 농담하는 건가요? 그게 전부입니다. 아, 오늘 또 열이 나네요. 날은 점점 추워지고 있는데 왜 이렇게 더워지나요? 다음에는 더 많이 드릴게요. 그게 다야! 어디서 구하나요? 당신은 거기에 있습니다. 아, 거기. 캔을 들어 올리세요. 보세요, 거기 있어요. 나도 먹고 살아야지. 이것도 먹으면 이 식사비는 돈이 안 된다. 맙소사, 이제 커피를 마실 수 있겠네요. 식사비를 지불하기 위해 열심히 일하십시오."
어이 거기! 네? 저요? 그럼 거기 너 말고 또 누구 있어? 이리 와봐. 왜 그러시죠? 이 밤에 너 부른 이유가 뭐겠어. 얼른 지갑에서 돈 꺼내고 시계랑 돈 될만한 거 다 줘봐. 저 지금 잠시 집에서 나온 거라 아무것도 가진 게 없어요. 손목에 그건 뭐냐? 장난칠 시간 없으니까 얼른 내놓고 가. 아 이건 싸구려 시계인데. 내 말 못 알아 들었어? 뭐든 얼른 다 내놓고 가라고. 주변 얼쩡거리지 말고 네 알겠습니다.,갈취 대화,"안녕하세요! 예? 나? 그럼 너 말고 또 누가 있어? 이리 오세요. 왜 그럴까요? 내가 오늘 밤에 너한테 전화한 이유가 뭐야? 빨리 지갑에서 돈을 꺼내서 시계와 돈이 될 만한 것은 무엇이든 주세요. 집에 잠시 나왔는데 아무것도 없어요. 손목에 그거 뭐야? 장난칠 시간이 없으니 그냥 버리세요. 아, 그거 싼 시계구나. 내 말을 이해하지 못하셨나요? 빨리 모든 것을 포기하고 떠나시기 바랍니다. 걱정하지 마세요. 네, 이해합니다."
너 이 자식 죽일 테다 아버지 살려주세요 감히 아버지를 속여? 제발 한 번만 봐주세요 아버지 너의 다리를 분질러버릴 거다 안돼요 제발 몽둥이 가지고 와! 저 녀석 오늘 반쯤 죽여놓을 테니 제발 아버지 죄송해요 이리 가까이 오지 못해? 으악 아버지! 아버지!,협박 대화,"넌 그 놈을 죽이게 될 거야. 아버지를 구해주세요. 어떻게 감히 아버지를 속이나요? 한 번만 봐주세요, 아빠. 다리를 부러뜨릴게요. 아니, 막대기 하나만 가져와주세요! 나는 오늘 이 사람을 반쯤 죽여버릴 것이다. 제발요, 아빠, 미안해요. 가까이 오면 안 돼요? 아야, 아버지! 아버지!"
우리 이제 너랑 안놀거야. 내가 뭐 잘못했어.? 잘못한건가? 너 색맹이라 색깔 구별도 못하잖아 그건. 그렇다고 사물이 안보이거나 하는 건아닌데. 아니 그러니까 너랑 뭘할 수가 없잖아. 색깔도 안보이는데 너 데리고 다녀서 뭐해. 그치만.어느 정도 감은 있어. 색깔이 평생 구별이 안됐는데 니가 뭘 알아 하여튼 너랑 노는 거 재미도 없고 맨날 신호등 색깔도 안보인다면서 무슨 너네랑 노는 거에 문제없었는데. 뭘 문제가 없어. 니가 안쓰러우니까 애들이 맞춰준거지. 근데 난 이제 싫어. 장애인 데리고 다니는 거 같잖아. 하여튼 앞으로 아는 척하지마. 너무해.그렇다고 그렇게까지 말할 건 없잖아.,기타 괴롭힘 대화,"우리는 더 이상 당신과 놀지 않을 것입니다. 내가 뭘 잘못했나요? 내가 뭔가 잘못했나요? 이들은 색맹이므로 색을 구분하지 못합니다. 하지만 그렇다고 해서 사물을 볼 수 없다는 뜻은 아닙니다. 아니, 난 너한테 아무것도 할 수가 없어. 색깔도 볼 수 없는데 왜 널 데리고 가는 걸까? 하지만 나는 어떤 느낌을 가지고 있습니다. 평생 동안 색깔의 차이를 구분할 수 없었지만, 무엇을 알고 있나요? 너희들은 가지고 놀기에도 재미가 없고, 신호등 색깔도 맨날 안보여서 너희들과 놀아도 문제가 없었다. 문제 없습니다. 아이들이 그런 짓을 한 것은 당신이 안타까워서였습니다. 하지만 지금은 그게 싫어요. 장애인을 데려가는 것과 같습니다. 어쨌든 앞으로는 더 이상 아는 척 하지 마세요. 너무 많아요. 하지만 그렇게 말할 필요는 없습니다."
정과장 휴가계 냈어? 네 부장님. 아이 학교에 가 봐야 해서. 마감이 언제지? 마감은 다음 달이라 아직 좀 여유가 있습니다. 뭐? 여유? 맨날 그렇게 여유 부리다가 막판에 밤 새고 그러고 나서는 회사가 갑질했다고 그러려고? 아닙니다. 일정 차질 없도록 하겠습니다. 아니 다음달이 마감인데 어떻게 휴가를 쓸 생각을 해? 저희 두 달 마다 마감인데 그러면 휴가를 언제 쓸 수 있나요? 그걸 지금 말이라고 해? 과장이나 돼가지고 그런 소리나 하니까 아랫 사람들이 정과장을 우습게 생각하는 거 아냐. 부장님 말씀이 너무. 뭐! 내 말이 뭐가 어쩌고 어째? 아 아닙니다.,직장 내 괴롭힘 대화,"정과장님이 휴가통보를 주셨나요? 네, 매니저님. 나는 내 아이의 학교에 가야 해요. 마감일은 언제인가요? 기한이 다음달이라 아직 시간이 좀 남았네요. 무엇? 예비 부품? 항상 시간을 너무 많이 쏟다가 막판에는 밤새도록 자다가 회사에서 혼난다는 말인가요? 아니요. 일정에 차질이 없도록 최선을 다하겠습니다. 아니요, 마감일은 다음 달입니다. 휴가를 어떻게 활용하고 싶으신가요? 마감일은 두 달에 한 번씩입니다. 그럼 우리 휴가는 언제 갈 수 있나요? 지금 그런 말을 하는 겁니까? 정과장님이 부장처럼 말한다고 부하들이 업신여기지는 않나요? 매니저가 너무 말을 많이 했어요. 무엇! 내 말에 무슨 문제가 있는 걸까요? 안 돼."
왜 남의것을 함부로 만져? 뭐? 싸가지봐라 내맘인데? 이리줘 싫어 이거 웃기다 애들 보여줄래 이리달라고 그래 가져가 내놔 근데 폰으로 이미 다 찍어놨는데 뭐? 비밀 지켜주는대신 뭐해줄래?,협박 대화,왜 남의 물건을 만지나요? 무엇? 부끄러워하지 마세요. 그건 내 마음이에요. 나에게 주세요. 나는 그것을 좋아하지 않는다. 그거 재밌네요. 아이들에게 보여주고 싶나요? 나에게 주세요. 그것을 가져다가 나에게 주십시오. 그런데 벌써 다 휴대폰으로 찍었어요. 무엇? 내 비밀을 지키는 대신 당신은 무엇을 하시겠습니까?
철수야 내일까지 3만원가져와라 나 이제 더이상 부모님께 돈 못받아. 그럼 몸으로 때우자 그만해.제발 왜이래 학교생활하기싫어?? 내가 뭘잘못했다고.많이가져다줫잔아 넌 존재자체가 거슬려 맞기싫으면 돈가져와 더괴롭히면 신고할거야. 해봐 그럼 죽여버릴테니 .미안해제발.,갈취 대화,"철수 씨, 내일까지 3만원만 가져오세요. 더 이상 부모님으로부터 돈을 받을 수 없습니다. 그렇다면 우리 몸으로 막아보자. 제발, 그렇게 학교에 가고 싶지 않은 이유는 무엇입니까? 내가 뭘 잘못했나요? 당신은 나에게 많은 것을 가져왔습니다. 당신의 존재에 영향을 받기 싫다면 돈을 가져오면 신고하고 더욱 귀찮게 할 것입니다. 시도해 보세요. 그러면 죽여버리겠습니다. 부탁드립니다. 죄송합니다."
노트북이 어딨지? 어 저기요 네? 혹시 이거 저기 테이블에 있던거 아닌가요? 네 맞는데요? 그거 제껀데요? 버리고가신줄알았는데요? 상식적으로 노트북을 버리고 가는 사람이어딨어요 상식적이지 않은 사람들도 많으니까 그렇죠 돌려주세요 싫은데요? 제가 주웠는데요? 말이 안통하시네요 그쪽이야 말로요,갈취 대화,"내 노트북은 어디에 있나요? 아, 응? 그거 테이블 위에 있던 거 아니었어? 네, 그렇죠? 그거 내꺼야? 당신이 나를 떠난 줄 알았는데? 누가 노트북을 버릴 상식이 있습니까? 상식이 없는 분들이 많네요. 다시 보내주세요. 나는 그것을 좋아하지 않는다. 내가 집어들었다고? 당신은 말하기가 어렵다고 생각합니다. 그게 다야."
