idx,class,conversation,keywords,persona,generated_conversation
618,직장 내 괴롭힘 대화,"민정씨 다음주에 저 지방 출장있는 거 알죠?
예 알고 있습니다.
내가 개인적으로 일이 좀 생겼는데 대신 가줄 수 있어요?
네?아 저도 그 날 일이 좀 있어서 안될 것 같습니다.
아 그 일 다음번으로 미루고 대신 좀 가주세요
죄송해요. 저도 중요한 일이라서요.
회사일보다 중요한 게 있나요?
죄송합니다.
그렇게 나오신다 이거죠? 상사 부탁인데도?
부장님 왜 그러세요.
됐습니다 가지 마세요. 앞으로 회사 생활하는데 많은 어려움이 있을겁니다.
부장님.
이 부탁을 거절한 걸 후회하게 만들어드리죠","저지
출장
일상","경영진
부장, 상사
회의실","요즘 저는 여행을 좋아하지만, 정말 많이 하게 되면 지구력으로서 저지해야 하는 것 같아요? 
네, 나도 그렇고요. 여행이 오래하면 몸이 아파질리고, 피부도 건조해집니다. 그래서 여행 때는 충분한 휴식을 취하고, 물과 식사를 주의 깊게 해야 해요.
그럼 여행에서 가장 좋은 곳이 어디예요?
내년 여름에는 베트남에 가고 싶어요. 에서는 바다와 산이 함께 있는 곳이라, 편안함과 즐거움을 동시에 느낄 수 있을 거예요.
베트은  좋겠네요. 그곳은 어떤 맛집이나 음식이 있나요?
베남은 다양한 음식을 가지고 있어, 특히 고추장국물이 유명해요. 그리고 한정식도 매우 하다고 들었어요. 
  고추장을 좋아하시죠? 
네요, 너무 좋아요! 고추장이 들어가는 모든 음식에 적절히 넣으면 더 맛있어 보이죠?
  맞아요, 제가 고추 장수는 잘 못 먹어요. 하지만 고추가 들어가지 않는 음식은 제대로 못 먹으려니요.
  , 그럼 다음에 고추를 안 써보세요"
619,기타 괴롭힘 대화,"야 너 왜 그러고 다니냐
왜? 뭐가?
아니 무슨 게이도 아니고
그 꼴이 뭐냐
내가 뭐 했다고 ? 게이라니 말이 심하잖아 
아니 너가 하는 꼬라지랑 행동이 좀 게이같잖아
말이 너무 심하다 너는 뭐 잘하고 다니는 줄 알아?
어 나는 잘하고 다니는데? 내 친구도 너 보더니 게이같다고 손절하라던데
뭐라구 ?
너가 게이 소리 듣기싫으면 좀 바꿔","네
행동
소리","친구, 동료
","네, 오늘도 잘 지내? 
네. 나도 괜찮아. 어제는 정말 가만히 앉아서 보냈던 것 같아. 
그럼 너는 뭐 한 할 거냐?
내일은 집에서 영화 시청하고 싶었는데, 이게 너무 오래 걸렸어. 
이건 나중에 하자고 해.
맞아. 나랑 같이 보면 어떨까?
? 아니, 저도 좋겠어. 다음 주말에는 함께 보러 갈 거야."
620,협박 대화,"너 . 김디귿이랑 바람 폈냐 .?
 뭐 .? 무슨 말도 안 되는 소리야 .
 그럼 도대체 이건 다 뭔데 !!
 너가 그걸 어떻게 .
 똑바로 말해. 김디귿 이 새끼 도대체 누군데 !!!!!
 나도 잘 모르는 사람이야 . 진정해봐.
 당신 장모님께 다 말씀드릴거야. 이혼해
 절대 말하지마 말하면 나 뛰어내릴거야
 지금 뭐하는 짓이야 !
 말하기만 해 !!!!!!! 나 죽을거야 !!!!!!!!!!","김디귿
남자
말하기","남편남자, 아내
","오늘 한 달이 다가왔다니? 
네, 맞아! 이제는 우리가 이달 말까지도 잘 지낼 거야. 
그럼, 어떤 계획이 있어?
우리 집에서 가벼운 식사 로 하자. 
아내 아, 그게 좋을 것 같네. 어때?
그래, 나만 간단한 요리를 해볼까? 
그럼, 내일 점심 시간에 만날래?
좋아, 나중에 알려줄게. 
  , . 
   . 
그리고, 오늘 저녁에는 뭐 먹을 거라고  해두고 싶어?
  , 어릴 때에 엄마가던 음식이나?
  네, 그거랑 비슷한 게 어떨까? 
  , 그  . 
    ."
621,갈취 대화,"어이 아저씨. 그거 밥 어디서 받은거에요?
 저기 노인정에 대학생들 봉사활동왔씨유.
 반찬 참 맛있어보이네.
 대학생들이 참 고마운 일을 하는기지. 근데 어쩌나. 다 떨어진 거 같던데.
 그래요? 참 고마운 사람들이네. 넉넉히 좀 준비해오지.
 노숙자들이 다 몰려드니 별 수 있나.
 아저씨. 아저씨도 불우이웃한테 기부 좀 해봐요. 그거.
 무슨 소리여?
 아 한 번 말하면 좀 알아들을 순 없나? 내놓으라고 그거.
 나도 이틀 굶었서야. 이러지 말어.
 평생 밥 못 먹게 해줘? 그거 내놔.","밥
봉사
고마움","대학생
친구, 아저씨 노인
노인정","어제 저녁에 우리 집에서 한 번 먹었던 밥이 정말 맛있었습니다.
네? 어떤 식사가 있었니?
내부게장과 김치찌개였습니다. 이거도 너무 맛있었다.
? 그럼요? 나도 그날밤에도 밥을 먹었는데 왜 이제  이렇게 말하겠어요?
. 고마워서 이죠. 저는 할아버지와 함께 봉사를 하면서 밥도 드셨다고 들었어요.
. 아, 맞아요. 저도 할머니와 함께 노인정을 다녀왔어요. 그때도 저희들이 밥 많이 먹었답니다.
. 그럼 요즘도 계속해서 밥으로 인사를 해 주실까요?
. 예, 언제든지 언제든지를 생각하고 있습니다. 만약 제가 도움이 필요하면 연락주세요.
고마운 마음이에요. 감사합니다.
  고마웠습니다."
622,협박 대화,"오랜만이다. 나 기억해?
 누구시죠?
 아니 왜 니가 내가 사람 죽이는 거 봤다 해서 나 감방 갔잖아. 정말 기억 안 나? 안날 리가 없을텐데
 저기 왜 전화하셨어요?
왜 전화했을 것 같아요? 정말 이렇게 될거란 생각 안 해봤어? 증인보호가 언제까지 널 지켜줄거라 생각했는데 됬고 조만간 찾아갈테니까 기다려.
 살려주세요. 제가 잘못했어요.
 아니야 니가 뭘 잘못해. 내가 잘못한거지. 잘못한 게 아니라 그냥 운이 안 좋았던거지. 
 정말 진심으로 사과드립니다. 정말 죄송합니다.
 야 사과하지 말라했지? 사람 말이 말같지 않아? 넌 쉽게 죽을 생각하지 마. 누구땜에 감방에서 이렇게 썩었는데. 전과자라 취직도 안되요 더러운 세상 걍 나 이렇게 만든 놈들 다 죽이고 감방에서 사는 게 훨씬 편해. 너부터 죽자.
 경찰에 신고하면 당신 쉽게 잡을 수 있어.
 어디 한 번 해봐. 니가 먼저 죽나 내가 먼저 잡히나 해보자고. 펜치랑 망치들고 거의 다 왔으니까 문 열어놔라","사람
감방
경찰","경찰
형제, 친구
감방","형, 이 감방이 참 기분 좋네? 
네, 하지만  에서 한 달 만에 오는 건 정말 힘들고 어렵다는 말은 안 들었어?
그럼에도 불구하고 나도 으로서 지내면서도 마음에 드는 게 있어. 
그만큼  게 된 이유는 어떤 거야?
  아, 저는 할아버지의 말을 듣고 싶어서.
할아버지는 ? 왜 그런를 하셨을까?
? 할아비가 나에게 말했다면   이라고. 
  그리고 그 이후에 어떻게 보냈어?
  처음에는 많은 어려움을 겪었지만      .
  그럼  에서는       ?
?     . 
      ?    .     ?
.           .
.  !        ,          ?
   .           .
.          ?
.        .
.  ."
623,협박 대화,"이번 일은 너가 맡도록해.
예? 저번에도 제가 하지 않았습니까.
그래서 안할거야?
좀 힘들것 같습니다.
니 자식들 목숨이 내 손가락 하나에 달려있다는거 잊었나 보구나?
제발 제 자식들 만큼은 건들지 말아주세요.
나도 내가 니 자식들 안건드렸으면 좋겠어
예. 제가 이번일 맡겠습니다.
그래 좋은 가장이 돼야지
예.","일
자식
목숨","대화의 주인공은 대화 분석 전문가로, 현재는 저번에도라는 표현으로 자신의 역할을 부","저번에는 자식이 한 달 동안 이사 왔는데요?
그럼? 왜 이렇게 오게 되셨어요?
아, 나무라들이 너무 힘들었던 것 같아요. 엄마와 함께 집에서 살고 싶어 했지만, 엄마가 요즘 몸이 불편하다고 하더라고요.
정말 말이야. 엄마도 나보다 더 힘든 거죠. 어릴 때는 다니는 데도 어려웠잖아.
네, 맞아요. 하지만 지금은 우리가 더 많이 도움이 필요해요. 엄마가 가면 잘 지내겠네요.
  알겠습니다. 엄마에게 전해드리겠습니다. 그리고 나서 우리가 함께 할 일을 세우겠습니다. 
좋은 생각이에요. 엄마한테 전해드리고, 오늘부터 계획을 세우면서 시작해보겠습니다.
? 네, 좋습니다. 엄마를 위해 최선을 다하겠습니다."
624,직장 내 괴롭힘 대화,"들었어?
네?
 앞으로 나오지 말라고.
 네?
 너 같은 답답한 놈이랑은 나는 일 못하니까 이제 출근하지 말라고.
 죄송합니다.
 너는 그냥 인간 패배자야.
 죄송합니다.
 죄송은 무슨 빨리 짐 싸.
 느려 터져가지고. 눈치도 없고.","인간
패배자
눈치","수사
동료, 상사
사무실","저는 정말 불안한 마음이 들어서요. 오늘도 한 번 더 도와주세요.
왜 그럴까요? 오늘도 잘 하셨어요?
우리 동료가 자격증을 잃고 말았는데요. 너무 아프죠?
네, 정말 안타깝습니다. 하지만 그는 잘못된 길을 가던 사람이라면 더 나쁜 상황으로 이어질 수도 있겠죠.
맞아요. 그리고 그 사람을 비난하려고만 하면 더 해질 거예요. 다들 너무 많이 힘든 시간을 보내고 계시는 것 같아요.
  맞아. 우리는 함께 지켜보면서도 그 사람에게 유감을 드리고 싶지만, 그것이 이건 아니잖아요. 
오, 그렇군요. 그럼 어떻게 해야 할까?
  우리 모두 서로 지원하고, 적절히 조언을 해줘야 하는 거야. 그가 다시 나아갈 수 있도록 도울 수 있는 방법을 찾아봐야지."
625,갈취 대화,"너 그거 뭐냐?
아무것도 아니야
아니긴? 이리 줘봐
돌려줘!
이야 이거 이번 신상 아니야
어머니가 생일선물로 주신거야!
야 잠깐만 빌리자
달라니까!
내가 지금 이거 뺏는거야? 잠깐 빌리자고
그런 게 어딨어!","생일선물
아이
뱃살","어머니와 아들
불명확 이곳에서 발생한 대화","어제는 정말 좋은 날이었습니다만, 오늘도 기분이 좋네요?
네, 할아버지께서 생일을 맞이했어요. 아이들은 모두 큰 선물을 받았습니다.
그럼 어떤 것들이었나요? 저는 아이들에게 무엇을 주셨는지 알고 싶어요.
하늘색 카트레인과 모양이 같은 동전, 그리고 유산소 도구까지 다 써서 주셨답니다.
하지만, 제가 가장 신경 쓰고 싶은 건 아이들이 뚱뚱한 아버지라면 뱃집이 더 가벼워질 거예요.
웃음 그럼 어떻게 해요? 아이들이 잘 먹으면 안 되겠죠?
노력으로 말하니 네, 우리 아이들을 지키는 것이 중요해요. 나중에 보니 더 가볍게 될 거야.
  그건 다 나에게 맡겨줘. 당신은 엄마니까.
   우정 있게 말하며 고마워. 너도 잘 해."
626,기타 괴롭힘 대화,"이거 환불해 주세요 영수증은 여기 있어요
 환불? 왜? 웬만하면 쓰지
 네? 아니 구입했는데 알고보니 있는 물건이더라고요
 아휴 귀찮게 됐네
 네? 지금 뭐라고 하셨어요? 그리고 왜자꾸 반말하시는 거예요?
 반말하면 안 돼? 딱 봐도 내 아들 뻘 나이구만
 그건 아드님이시고요. 저는 손님이잖아요
 손님이면 뭐? 손님은 왕이다 이거야? 재수가 없으려니.
 뭐라고요? 본사에 컴플레인 걸 거예요.
 컴플레인? 걸어 뭐 어쩌라고. 환불 못해줘 당장 나가","영수증
환불
손님","손님, 아들
아버아들
본사","안녕하세요, 오늘도 잘 지내셨나요?
네, 괜찮아요. 제가 한 번 더 사서물건을 주고 싶었는데, 이게 맞는 거죠? 
네요, 그거는 저희 본사의 영수 증명서입니다.
영수? 왜 나에게 주실까요?
우리 회사에서 만든 제품이 신선한 것이니까요. 만약 환불을 하려면 이 증명을 보여줘야 해요.
  그래, 감사합니다. 몇 년 전부터 구입했어요. 이제 제가 너무 오래되었습니다.
그런데, 이 제품은 5년 이상이 되어서는 환불이 가능하지 않습니다. 하지만 다른 제품이나 다른 가치가 있는 것이라면 환불해 드릴 수 있을 수도 있어요.
? 그럼 어떤 제품인지 알려주세요.
  우리 회사가 만든 전자기기를 추천해 드리고 싶어요. 그것은 정말 좋았던 건가요?
  네, 전자기기가 좋았어요. 그 를 구입하면 환불 받을 수 있을까요?
   네요. 지금까지 사용하지 않았으면 됩니다. 그 외에도 다양한 제품들이 있습니다. 어떤 것을 원하시면 말씀해 주세요.
. 고마워요. 내가 구입해야 할 제품을 찾아보겠습니다."
627,직장 내 괴롭힘 대화,"야 안대리 너 겨우 이것밖에 안돼? 일처리를 겨우 그만큼 하면 어쩌자는 거야
아니 처리시간을 겨우 요만큼만 줘놓고 그걸 그만큼 어떻게 하라는 겁니까?
야 새끼야 나한테 지금 대드는 거야
아 죄송합니다. 제가 순간 욱하는 바람에 죽을 죄를 졌습니다.
필요없어 새끼야 나 니같은 대리 필요 없으니 딴 회사나 알아봐
죄송합니다. 부장님 저 이 회사밖에 없습니다. 저 지금 나가면 가족들 다 다 힘들어져요
야 그게 나랑 뭔 상관이야 니 엄마아빠가 차에 치어 죽든 관심도 없어
죄송합니다 죄송합니다 죄송합니다
나한테 원망하지 말고 니 성격 그렇게 유전시킨 부모나 원망해 새끼야","대리
회사
상관","대리
아내, 부부
차","오늘 회사에서 대리가 나서고 있어?
네, 그럼? 왜 그렇게 말했어?
요즘 업무도 많고, 팀장과 만나서도 많이 불편한 거 같아서.
이래서? 상사한테 이야기하면 안 돼?
  아니야, 그냥 마음이 불안하거든. 집에 가면 아내랑 얘기하고 싶었는데...
하하, 대리야! 우리 집에 오는 거야?
? 아니야. 어제부터 주말까지 일만 하고 있다니... 
어쩐 그래? 한 달에 한 번씩  를 내일에 나와서 쉬어야 해.
네. 그리고 이달에는 중요한 프로젝트가 있어서.
  그럼, 어떻게 할 것 같아? 
하지만 내가 한 달 동안 쉬는 것도 중요해. 스트레스도 줄이고, 신선한 생각을 하게 되겠지.
? 네, 맞아. 너도 잘 쉬어라!
고마워. 이제 차를 드려야겠다. 같이 을 하자.
. 좋겠다. 저도 차를 마셔봐."
628,기타 괴롭힘 대화,"야 너는 그렇게 생겨서 어떻게 얼굴 들고 다니냐?
 그니까. 나 같으면 쪽팔려서 자살했다.
 걍 자살하는게 어때?
 너희한테 피해준 거 없잖아. 그냥 신경 좀 꺼줘.
 피해준게 없다니 니 얼굴을 볼 때마다 구역질이 나와서 피해받고 있는데.
 그리고 너 냄새 뒤지게 나는 거 알지? 제발 좀 씻고 다녀라.
 맞아. 니 별명이 인간 쓰레기통인거 알고는 있냐?
 그래 알았어. 제발 좀 가주라.
 친구 없어서 불쌍해서 말 걸어줬더니 이딴 식으로 나오네
 그러니까 친구가 없지. 불쌍해라.","얼굴
피해
신체","대화의 주체는 나와 너, 그대로 구성되어 있으며, 자살과 피해","아, 오늘 날씨가   ? 
네, 정말 좋네요! 비가 내리는 것도 좋고, 햇빛도 잘 어우러져서 좋은 하루가 될 것 같아요.
네? 이 눈물이 왜 많이 오는지 궁금해요?
사실 저는 가슴이 좀 아프니까요.에 할아버지  ,        .
? 우리도 안 된다고 하셨어요? 
 네.         ,       .
. 그리고 요즘 피부 상태도 안 좋아 보이는 거예요.
맞아요.      ,          .
.? 피부 관리 방법을 알려주세요!
아마 전유성 피부일 거야.         .
. 은 어떤 제품을 추천하실까요?
.  50 이상으로 해서 사용하면 됩니다.        !
. 그럼,   ? 
	 네...       ,     .
? 그건 이해합니다. 하지만 너도 괜찮으려면 시간이 필요하다니, 편안히 쉬어라.
."
629,협박 대화,"내가 자네말만 듣고 투자했다가 우리식구들 다 길바닥행이네
미안하네 나도 이럴줄 몰랐네
됐네 미안하단 말은 필요없네
내가 일부러 그런 것도 아니지 않은가 ?
그냥 던진 돌에 개구리 맞아 죽는다고 내가 그짝이야
이미 벌어진일 어쩌겄는가
말 참 쉽게하네 자네 나는 이대로 못가네
그럼 어쩔 셈인가
내가 돈 대신 자네 몸에 있는거라도 떼가야겠네 그거라도 팔면 돈좀 생기지 않겠는가?
제정신인가?
제정신일수가 있겠나? 전재산을 다 날리고 나도 이렇게까지 하고 싶지는 않았다네","투자
길바닥
돈","직업 주인공의 직업은 명확하지 않지만, 투자라는 단어로 인해 주인공이 재무 관련 업계에서 일하는 것으로 추측할 수 있다.","오늘도 길을 걸으며 돈을 생각해 보았어요?
맞아요? 왜 그렇게 생각하셨어요?
저는 이곳에 도착하면 바로 집으로 가고 싶었는데, 그 다음에는 투자를 다루면 안 되겠죠?
그럼 어떻게 하실 거예요?
  나중에 자산을 늘리고 싶습니다. 하지만 지금은 잘 못 알고 있어...
예전에도 한 번을 해보셨나요?
? 이란 무엇인지 잘 몰랐어요. 
은 어떤 종류가 있어요? ,  등이 있을까요?
? 네,와 가 있습니다만, 은 너무 복잡한 것 같아요.
그렇다면 처음부터 시작하기 어렵겠네요.
사실은 을 할 때는 시간과 노력이 많이 필요합니다.
  그래서 몇 년 동안 공부해야 하는 것 같은데..."
630,협박 대화,"야 진짜 쳐뒤지고 싶냐?
 죄송합니다
 내가 만만하지? 니네 부모까지 확 갈라버린다.
 부모님은 건들지 말아주세요 꼭 그 때까지 마련하겠습니다
 칼로 썰려서 뒤지기 싫으면 그 때까지 2배로 마련해.
 죄송합니다. 제발. 2배는
 닥치고 준비하라면 하라고!!!!!!
 죄송합니다 알겠습니다
 알리면 쥐도 새도 모르게 뒤지는거야. 알리는 순간 유포한다. 알았냐? 
 그것만은.
 대답하라고!!! 쌍년이 쳐돌았나.
 네","부모
가족
시간","아내부모
","오늘도 바쁘셨어요?
네, 오랜 시간 동안 집에서만 있으니까요. 어릴 때는 엄마와 함께 할아버지와 할머니와 함께 지냈었는데요.
그럼에도 불구하고 지금도 잘 지낼 거예요? 
그래요, 아이들이 자란 후에는 나중에 결혼해서 우리 가족을 더 많이 보게 될 것 같아요.
  가정을 하면서 살고 싶네요. 
  그럼 언제부터 이사하실까요?
다음 주말에 ? 
 그때까지는 지금 집에서 계속고 싶습니다.
좋아합니다!    에 이사하면 좋겠죠? 
예,  이랑  으로는 되겠습니다. 
 그리고 우리 아이들 ? 
  물론이야. 아이들도 이사를 갈 때 같이 다녀갈 거야.
. 그럼, 준비해야 할 게 있을까? 
  물건들을 정리하고 한 번씩 확인하기도 해보면 되겠다."
631,기타 괴롭힘 대화,"야 얘 이 쪽 손가락 세 개밖에 없다
엥 손가락이 세개밖에 없을 수가 있어?
봐봐
하지마.
우와 진짜 손가락 세 개네. 너 그러면 그거야? 장애인?

그럼 너는 이거 뭐라고 불러? 엄지 중지 새끼?
야 왜그래. 엄지 검지 중지지. 뭘 모르네
하지마. 왜그래.
아 미안미안","손가락
엄지
검지","친구, 동료 
","오, 이게 왜 이렇게 며칠 동안 손가닥이 아프네? 
안 되고 있어, 오늘도 손가지를 세 번씩 쥐었다니 말이야. 
네, 나도 그만큼 손가족을 자주 쓰니까 가끔씩 아파서 해. 
  어제는 검지가 더 아팠던데, 지금은 엄지는 좀 더 많이 해. 
  맞아, 검지가 너무 강한 것 같아서 그런 거예요. 
  다들 손가죽이 약하기 때문에 나보다 더 힘내서 아픈 거야. 
   그래도 잘 지냈으면 좋겠지만, 지금 손가을 주무시면 하겠어. 
   알겠습니다. 내일 일했으니  에 자기가 되길 바래."
632,갈취 대화,"너 반지 예쁘다
용돈 모아 샀어
나 한번만 껴볼게
그래그래
와 예쁘다 나 하루만 빌려주라
이거 비싼거라.
우리 사이에??
그래도.
야야 됐어
삐쳤니?","예쁘다
용돈
일회","주인공은 주부입니다.
남편과 아내의 관계입니다.
집에서 대화가 이루어지고 있습니다.","아, 오늘도 예쁜 날이네요?
네? 왜 그래?
가방을 보니 내구가 나와서요. 이거는 얼마 전부터 고민했었는데, 결국 이번에는 비싸게 사고 싶어서 구입했습니다.
그만큼 잘 쓰면 오래 지속될 거예요. 다만, 그 가격은 너무 높습니다.
하지만 이 제품은 정말 안정적으로 사용되니까 저는 괜찮아. 남편에게도 추천하고 싶어요.
  그리고, 오늘 아이들이 집안 청소한 후에 집무실에 들어가서 일회를 해볼까 하겠어요.
  네, 좋아요. 그럼 내가 도와줄게.
? 우리가 함께 할 때 더 신경 써줘야 한다고 생각해요.
 , 나도 같은 생각이야. 서로 협력하면 더 효율적이지 않을까?
  맞아요. 그러면 우리가 더 많은 시간을할 수 있을 것 같네."
633,협박 대화,"넌 진짜 일단 맞자
아 진짜 왜그러냐
조금 실수한 거 갖고 왜 그래
그게 조금이냐
몰라 일단 쳐맞으면 정시차리겠지
어디부터 맞을래
근디 옆 학교에 얘 동생있잖아 알지?
알지 좀 있다 고?
미안해 동생은 그냥 냅둬
일단 쳐맞자","일단
실수
동생","직업 학생 

관계 형제

장소 근디","이일이 정말 힘들었어?
네, 시간이 너무 걸려서 실수가 많아.
어떻게 하니? 그만큼 공부도 잘 해.
하지만 주말에도 전날 밤까지 공부해야 해서 피곤해.
	 어제는 점심시간에 도와줘서 고마워.
	 그래, 오래된 책을 읽고 있어."
634,직장 내 괴롭힘 대화,"수아씨 잠깐 탕비실에서 저 좀 봐요.
 네? 무슨 일이세요.
 선배가 말하면 그냥 올 것이지 뭐 이리 말이 많아요?
 아 네 죄송합니다 가겠습니다
 저번에 거래처 갈 때 나한테 왜 그랬어요?
 네? 무슨 말씀이신지 잘 모르겠습니다
 알면서도 그러네 진짜 본인이 싸가지 없는 거 아나?
 그 땐 제가 잘못한 게 없는 것 같은데요.
 선배한테 그 말투가 정상인가?
 전 그저 있는 그대로 말씀드리는 것 뿐입니다.","탱비실
거래처
말투","1. 수아씨의 직업은 명확하지 않습니다.
2. 수아씨와 다른 사람 사이의 관계는 부모자와 자식이 될 가능성이 있습니다.
3. 대화가 발생하는 장소는","어, 오늘도 나무질을 해서 오셨네요?
맞아요, 주말에 가고 싶었는데 집안일을 못하고 있어요. 
그럼 이만 한 시간 정도 더으려면? 
네, 잘 되겠습니다. 어떤 일들이 있나요?
저는 바쁘게 지내고 계신가요? 
    조심히 말하겠습니다
전부 다 하셨군요. 제가 할 일도 많이 없어서요.
그래, 그런데 내일은 할 일을 좀 많겠죠? 
     어느 날도 안되길 바랍니다
  네, 내일도 같은 거예요. 다음 주말에는 고마워요.
다음 주에도 가고싶다면?
    만약 가실 수 있는지 확인해보세요
예, 다음 주에 가려고 생각했어요. 어떻게 갈까요?
  우리 함께 가보자고 하자. 
    그럼 좋겠다
. 그럼 정말 좋은네요! 어디 가고  ?
. 서울에서 가면 어떤 곳으로 가실까?
   그곳은 어떠?
. 서울에 가면 광장이나 도곡동에 가보고 싶어요. 아니면 서산에 가도 좋을 것 같아요.
. 그중 하나를 선택"
635,기타 괴롭힘 대화,"애 너는 이거를 잡채라고 했니?
왜요 어머니 입맞에 안맞으세요?
아주 그냥 잡채가 아니라 쇠심줄같이 질기다 애
아 한다고 했는데 죄송해요.
아휴 무슨 생일상을 차려준다고.
좋아하실줄 알았어요.
이거를 보고 좋아할 사람이 어딨니?
아 죄송합니다
됐다애 내가 무슨 너같은 애한테 생일 상을 받는다고 사먹고 말지 지금이라도
네.죄송합니다","애
생일상
집","아빠
아내
집","어제도 이 집에서 아이들이 많이 자고 계셨어요?
네, 그들은 밤이 되면 항상 잘 자고 있지만 오늘은 오래 잠들었네요.
오늘 생일에 맞춰서 저녁 식사 시간을 조금 늦추게 해봤는데요? 
예, 다니는 동물과 같은 거예요. 아이들이 너무 즐거운 하루를 보내길 바랍니다.
  그리고 나중에 할 수 있는 과학 실험도 생각해볼까 하죠?
  네, 아이들에게는 정말 좋겠네요. 아기를 위해 어떤 것을 준비해야 할까요?
우리가 한 번 만들어보는 것도 좋을 것 같아요. 아이들을 좋아하는 동물을 선택하면 어떨까요?
?"
636,갈취 대화,"어이 거기
네?
팔이 아주 무겁겠어
네?
반짝반짝 하는 것이 무거울까봐 걱정되서 글지
왜그러세요
내가무거울까봐 대신 받아서 차줄게 걱정마
제거에요. 그러지 마세요
금팔찌에 비해 팔목이 가늘잖아. 내가 걱정돼서 그래
아아 팔이 아파요 놔주세요
그러니까 그냥 내놔","팔
무거울
걱정","주인공은 남성으로, 그들의 직업을 알 수 없다.
주인공과 다른 사람들 간의 관계친구나 가족?가 있다.
","어서 오셨어요?
안녕하세요. 이곳에서 무거울게요. 날씨가 너무 추네요.
맞아요. 내일도 더 기온이 떨어질 것 같아요. 집에서 팔을 자주 드는 게 나쁘다고 들었죠?
네, 그렇습니다. 오늘은 정말 힘든 하루였어요. 회사에서 걱정이 많았는데요. 어떻게 해요?
저도 그런 생각이 많이 들어요. 하지만 일상적인 문제보다는 큰 문제가 아니니까, 조금씩 차근차근히 해결하려고 노력하고 있습니다.
좋아요. 그리고 오늘은 나중에 만날 거예요. 잘 지내고 계세요.
  잘 지낼게요.
대화 종료"
637,갈취 대화,"어이 거기 학생
네?
미안한데 돈 좀 줄 수 있나?
돈 없는데요. 
빨리.
없는데요.
뒤져서 나오면?
네?
빨리 내놔 죽여버리기전에!!
네 여기요","학생
돈
비상","학생
친구, 동료
학교","친구, 오늘 학교에서 기말고사 준비가 잘 되셨어요?
예, 다 고생하셨죠? 그럼도 잘 될 거예요. 하지만 이 주말에는 돈이 많이 필요해요. 엄마는 요즘 너무 힘들어 보이고, 저도 과제들이 많아... 
어서 가보면 좋겠네요. 우리 함께 도와줄게요. 그리고 나중에 비상 상황이라면 어떻게 하실 거예?
? 비상 시간에 집을 떠날 때는 어디에 있는 거야?
우리 집으로 가면 돼요. 그곳은 안전한 곳이야. 만약에 불안하면 우리 집에 오세요. 
고마워. 그리고 내일은 할 일 있나요?
. 아, 그저 작은 일이에요. 제가 미팅에 갈 것 같아요. 너는 어떤 계획이 있으려 해?
. 내일만큼은 . 나중엔 어떤 일이 있을까?
.? 그럼에 대해 말하고 싶은 게 있어.
. 뭐라고? 
. 대학 입학 이 더 중요해요. 
. 맞습니다. 지금까지도 공부를 열심히 해서 좋은 점수 얻기를 바래요!
. 네, 그렇게 하면 좋겠습니다!"
638,기타 괴롭힘 대화,"너는 왜 그렇게 이기적이야?
응?
아니 솔직히말하면 너 너무 자기중심적인거 알아?
내가?
응. 그러니까 친구가 없지.
내가 뭐 잘못했어?
그런것쯤은 네가 알아서 생각해야하는거 아냐? 넌 누가 말해줘야 그런걸 아니?
미안한데 진짜 왜그래?
진짜 어이가 없다. 태도가 왜 그모양이야? 내가 너랑 놀아준다고 우리 친구라고 생각하는건 아니지?
갑자기 왜이러는지 모르겠어. 내가 뭘 잘못한거야?
모르면 좀 공부하고와 내가 왜이러는지. 하여튼 처음 볼 때부터 넌 마음에 안들었어.","기회
자기중심
친구","대화의 주인공은 입니다.
대화의 주인공과 상대방 사이에서 친구? 관계가 있을 수 있습니다.
대화의 장","오늘은 정말 기회가 많았네요, 요즘도 잘 지내셨어요?
네, 그럼에도 불구하고 시간이 지나면서도 우리의 이 더욱 깊은 거 같아요. 
맞아, 그런데 이달 말에는 어떤 계획이 있으신가요? 새로운 취미를 시작하려고 하시는 것 같아서 궁금해요.
어쩌면 나중에 할 수 있는 것이죠, 하지만 지금은 아직 정해지지 않았습니다만요. 도움이 되실까요?
물론, 언제든지 도와드리겠습니다. 이제는 마음을 진정시키고, 더 큰 목표를 세우는 게 중요합니다. 
그럼에도 나중에 다시 만나서 이야기를 들려보게 해줄래요?
  그래, 정말 고마워요! 앞으로도 많은 기회를 가질 수 있도록 최선을 다하겠습니다."
